Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,326,1,77183.6,1,1,5,115,Cannot Lose Them
12347,2,7,4310.0,5,5,5,555,Champion
12348,75,4,1797.24,2,4,4,244,At Risk
12349,19,1,1757.55,4,1,4,414,New Customer
12350,310,1,334.4,1,1,2,112,Lost
12352,36,8,2506.04,3,5,5,355,Loyal Customer
12353,204,1,89.0,1,1,1,111,Lost
12354,232,1,1079.4,1,1,4,114,Cannot Lose Them
12355,214,1,459.4,1,1,2,112,Lost
12356,23,3,2811.43,4,3,5,435,Loyal Customer
12357,33,1,6207.67,4,1,5,415,New Customer
12358,2,2,1168.06,5,2,4,524,New Customer
12359,58,4,6372.58,3,4,5,345,Loyal Customer
12360,52,3,2662.06,3,3,5,335,Loyal Customer
12361,287,1,189.9,1,1,1,111,Lost
12362,3,10,5226.23,5,5,5,555,Champion
12363,110,2,552.0,2,2,3,223,Cannot Lose Them
12364,8,4,1313.1,5,4,4,544,Champion
12365,291,2,641.38,1,2,3,123,Cannot Lose Them
12367,4,1,168.9,5,1,1,511,New Customer
12370,51,4,3545.69,3,4,5,345,Loyal Customer
12371,45,2,1887.96,3,2,4,324,Lost
12372,72,3,1298.04,3,3,4,334,Loyal Customer
12373,311,1,364.6,1,1,2,112,Lost
12374,25,1,742.9300000000001,4,1,3,413,New Customer
12375,11,2,457.5,5,2,2,522,New Customer
12377,315,2,1628.12,1,2,4,124,Cannot Lose Them
12378,130,1,4008.62,2,1,5,215,Cannot Lose Them
12379,82,2,852.24,2,2,3,223,Cannot Lose Them
12380,22,4,2724.81,4,4,5,445,Champion
12381,5,5,1845.31,5,4,4,544,Champion
12383,185,5,1850.56,1,4,4,144,At Risk
12384,29,2,585.27,4,2,3,423,New Customer
12386,338,2,401.9,1,2,2,122,Lost
12388,16,6,2780.66,4,4,5,445,Champion
12390,80,1,549.84,2,1,3,213,Cannot Lose Them
12391,22,1,460.89,4,1,2,412,New Customer
12393,72,4,1582.6000000000001,3,4,4,344,Loyal Customer
12394,64,2,1272.48,3,2,4,324,Lost
12395,19,12,3018.63,4,5,5,455,Champion
12397,36,2,2409.9,3,2,5,325,Lost
12398,46,1,1635.6599999999999,3,1,4,314,Lost
12399,119,4,1108.65,2,4,4,244,At Risk
12401,303,1,84.3,1,1,1,111,Lost
12402,323,1,225.6,1,1,1,111,Lost
12403,50,1,427.7,3,1,2,312,Promising
12405,149,1,1710.39,2,1,4,214,Cannot Lose Them
12406,22,2,3415.3,4,2,5,425,New Customer
12407,50,5,1708.1200000000001,3,4,4,344,Loyal Customer
12408,33,5,2888.55,4,4,5,445,Champion
12409,79,3,11072.67,2,3,5,235,At Risk
12410,309,2,693.3299999999999,1,2,3,123,Cannot Lose Them
12412,75,3,1226.88,2,3,4,234,At Risk
12413,67,3,758.1,3,3,3,333,Loyal Customer
12414,217,3,562.41,1,3,3,133,At Risk
12415,24,21,124914.53,4,5,5,455,Champion
12417,3,9,3649.1,5,5,5,555,Champion
12418,113,1,668.58,2,1,3,213,Cannot Lose Them
12420,64,1,600.39,3,1,3,313,Lost
12421,16,4,807.04,4,4,3,443,Loyal Customer
12422,96,3,803.5600000000001,2,3,3,233,At Risk
12423,1,8,1859.31,5,5,4,554,Champion
12424,163,2,1760.96,2,2,4,224,Cannot Lose Them
12425,78,1,777.2,2,1,3,213,Cannot Lose Them
12426,195,1,582.73,1,1,3,113,Cannot Lose Them
12427,22,3,825.8,4,3,3,433,Loyal Customer
12428,26,9,7956.46,4,5,5,455,Champion
12429,9,4,3750.4,5,4,5,545,Champion
12430,43,1,256.4,3,1,2,312,Promising
12431,36,15,6487.45,3,5,5,355,Loyal Customer
12432,43,5,5059.32,3,4,5,345,Loyal Customer
12433,1,7,13375.87,5,5,5,555,Champion
12434,85,2,806.14,2,2,3,223,Cannot Lose Them
12435,80,2,7829.89,2,2,5,225,Cannot Lose Them
12436,100,1,509.01,2,1,3,213,Cannot Lose Them
12437,2,18,4951.41,5,5,5,555,Champion
12438,14,2,2906.85,4,2,5,425,New Customer
12441,367,1,173.55,1,1,1,111,Lost
12442,3,1,172.06,5,1,1,511,New Customer
12444,21,5,5005.46,4,4,5,445,Champion
12445,22,1,133.4,4,1,1,411,New Customer
12446,58,1,1002.3100000000001,3,1,4,314,Lost
12447,243,1,476.49,1,1,2,112,Lost
12448,44,1,449.45,3,1,2,312,Promising
12449,22,4,4067.29,4,4,5,445,Champion
12450,156,2,197.88,2,2,1,221,Lost
12451,11,5,9035.52,5,4,5,545,Champion
12452,17,2,430.57,4,2,2,422,New Customer
12453,134,1,707.09,2,1,3,213,Cannot Lose Them
12454,56,1,3528.34,3,1,5,315,Lost
12455,73,6,2466.86,2,4,5,245,At Risk
12456,44,3,3181.04,3,3,5,335,Loyal Customer
12457,66,7,2363.23,3,5,5,355,Loyal Customer
12458,71,2,947.4,3,2,4,324,Lost
12461,94,2,826.88,2,2,3,223,Cannot Lose Them
12462,19,2,1189.59,4,2,4,424,New Customer
12463,53,4,1344.78,3,4,4,344,Loyal Customer
12464,10,8,1212.05,5,5,4,554,Champion
12465,17,2,742.1899999999999,4,2,3,423,New Customer
12468,188,2,729.5400000000001,1,2,3,123,Cannot Lose Them
